RUBRO_ID;RUBRO_NOMBRE;CODIGO_CLAE
407;Instalación, ejecución y mantenimiento de instalaciones eléctricas, electromecánicas y electrónicas n.c.p.;432190
408;Instalaciones de gas, agua, sanitarios y de climatización, con sus artefactos conexos;432200
409;Instalaciones de ascensores, montacargas y  escaleras mecánicas;432910
410;Aislamiento térmico, acústico, hídrico y antivibratorio;432920
411;Instalaciones para edificios y obras de ingeniería civil n.c.p.;432990
412;Instalaciones de carpintería, herrería de obra y artística;433010
413;Terminación y revestimiento de paredes y pisos;433020
414;Colocación de cristales en obra;433030
415;Pintura y trabajos de decoración;433040
416;Terminación de edificios n.c.p.;433090
417;Alquiler de equipo de construcción o demolición dotado de operarios;439100
418;Hincado de pilotes, cimentación y otros trabajos de hormigón armado;439910
419;Actividades especializadas de construcción n.c.p.;439990
420;Venta de autos, camionetas y utilitarios nuevos;451110
421;Venta de vehículos automotores nuevos n.c.p.;451190
422;Venta de autos, camionetas y utilitarios, usados;451210
423;Venta de vehículos automotores usados n.c.p.;451290
424;Lavado automático y manual de vehículos automotores;452101
425;Reparación de cámaras y cubiertas;452210
426;Reparación de amortiguadores,  alineación de dirección y balanceo de ruedas;452220
427;Instalación y reparación de parabrisas, lunetas y ventanillas, cerraduras no eléctricas y grabado de cristales;452300
428;Reparaciones eléctricas del tablero e instrumental, reparación y recarga de baterías, instalación de alarmas, radios, sistemas de climatización;452401
429;Tapizado y retapizado de automotores;452500
430;Reparación y pintura de carrocerías, colocación y reparación de guardabarros y protecciones exteriores;452600
431;Instalación y reparación de caños de escape y radiadores;452700
432;Mantenimiento y reparación de frenos y embragues;452800
433;Instalación y reparación de equipos de GNC;452910
434;Mantenimiento y reparación del motor n.c.p., mecánica integral;452990
435;Venta al por mayor de partes, piezas y accesorios de vehículos automotores;453100
436;Venta al por menor de cámaras y cubiertas;453210
437;Venta al por menor de baterías;453220
438;Venta al por menor de partes, piezas y accesorios nuevos n.c.p.;453291
439;Venta al por menor de partes, piezas y accesorios usados n.c.p.;453292
440;Venta de motocicletas y de sus partes, piezas y accesorios;454010
441;Mantenimiento y reparación de motocicletas;454020
442;Venta al por mayor en comisión o consignación de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas;461011
443;Venta al por mayor en comisión o consignación de semillas;461012
444;Venta al por mayor en comisión o consignación de frutas;461013
445;Acopio y acondicionamiento en comisión o consignación de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas;461014
446;Venta al por mayor en comisión o consignación de productos agrícolas n.c.p.;461019
447;Venta al por mayor en comisión o consignación de ganado bovino en pie;461021
448;Venta al por mayor en comisión o consignación de ganado en pie excepto bovino;461022
449;Venta al por mayor en comisión o consignación de productos pecuarios n.c.p.;461029
450;Operaciones de intermediación de carne - consignatario directo -;461031
451;Operaciones de intermediación de carne excepto consignatario directo;461032
452;Venta al por mayor en comisión o consignación de alimentos, bebidas y tabaco n.c.p.;461039
453;Venta al por mayor en comisión o consignación de combustibles;461040
454;Venta al por mayor en comisión o consignación de  madera y materiales para la construcción;461092
455;Venta al por mayor en comisión o consignación de minerales, metales y productos químicos industriales;461093
456;Venta al por mayor en comisión o consignación de  maquinaria, equipo profesional industrial y comercial, embarcaciones y aeronaves;461094
457;Venta al por mayor en comisión o consignación de papel, cartón, libros, revistas, diarios, materiales de embalaje y artículos de librería;461095
458;Venta al por mayor en comisión o consignación de  mercaderías n.c.p.;461099
459;Acopio de algodón;462110
460;Venta al por mayor de semillas y granos para forrajes;462120
461;Venta al por mayor de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas;462131
462;Acopio y acondicionamiento de cereales y semillas, excepto de algodón y semillas y granos para forrajes;462132
463;Venta al por mayor de materias primas agrícolas y de la silvicultura n.c.p.;462190
464;Venta al por mayor de lanas, cueros en bruto y productos afines;462201
465;Venta al por mayor de materias primas pecuarias n.c.p. incluso animales vivos;462209
466;Venta al por mayor de productos lácteos;463111
467;Venta al por mayor de fiambres y quesos;463112
468;Venta al por mayor de carnes rojas y derivados;463121
469;Venta al por mayor de aves, huevos y productos de granja y de la caza n.c.p.;463129
470;Venta al por mayor de pescado;463130
471;Venta al por mayor y empaque de frutas, de legumbres y hortalizas frescas;463140
472;Venta al por mayor de pan, productos de confitería y pastas frescas;463151
473;Venta al por mayor de azúcar;463152
474;Venta al por mayor de aceites y grasas;463153
475;Venta al por mayor de café, té, yerba mate y otras infusiones y especias y condimentos;463154
476;Venta al por mayor de productos y subproductos de molinería n.c.p.;463159
477;Venta al por mayor de chocolates, golosinas y productos para kioscos y polirrubros n.c.p., excepto cigarrillos;463160
478;Venta al por mayor de alimentos balanceados para animales;463170
479;Venta al por mayor en supermercados mayoristas de alimentos;463180
480;Venta al por mayor de frutas, legumbres y cereales secos y en conserva;463191
481;Venta al por mayor de productos alimenticios n.c.p.;463199
482;Venta al por mayor de vino;463211
483;Venta al por mayor de bebidas espiritosas;463212
484;Venta al por mayor de bebidas alcohólicas n.c.p.;463219
485;Venta al por mayor de bebidas no alcohólicas;463220
486;Venta al por mayor de cigarrillos y productos de tabaco;463300
487;Venta al por mayor de tejidos (telas);464111
488;Venta al por mayor de artículos de mercería;464112
489;Venta al por mayor de mantelería, ropa de cama y artículos textiles para el hogar;464113
490;Venta al por mayor de tapices y alfombras de materiales textiles;464114
491;Venta al por mayor de productos textiles n.c.p.;464119
492;Venta al por mayor de prendas de vestir de cuero;464121
493;Venta al por mayor de medias y prendas de punto;464122
494;Venta al por mayor de prendas y accesorios de vestir n.c.p., excepto uniformes y ropa de trabajo;464129
495;Venta al por mayor de calzado excepto el ortopédico;464130
496;Venta al por mayor de pieles y cueros curtidos y salados;464141
497;Venta al por mayor de suelas y afines;464142
498;Venta al por mayor de artículos de marroquinería,  paraguas y productos similares n.c.p.;464149
499;Venta al por mayor de uniformes y ropa de trabajo;464150
500;Venta al por mayor de libros y publicaciones;464211
